,PC1,PC2
平均打点,0.40036242318049386,0.5831211215802603
副露率,-0.39358916846171416,-0.5672267487368089
リーチ率,0.3699124119122295,-0.19995525442021367
放銃率,0.49750835046576797,-0.46862162995512974
放銃平均打点,0.40751991575039315,-0.15988536818723417
ラス回避率,-0.3665723169738255,0.23037340621700503
