PC1,PC2,選手名,チーム名
1.6014021706565027,1.0252025748042266,HIRO 柴田,EARTH JETS
1.1494098015638141,-1.7664734420414758,三浦 智博,EARTH JETS
1.126128765995262,-0.8562378606879248,逢川 恵夢,EARTH JETS
-1.330819321022475,-0.33579089719066973,石井 一馬,EARTH JETS
0.16786007312320586,-0.07660631311059998,園田 賢,赤坂ドリブンズ
0.14708915452536717,-1.5693476624071505,鈴木 たろう,赤坂ドリブンズ
-0.18959116697033235,-0.303065454990899,浅見 真紀,赤坂ドリブンズ
-1.7943874199956293,-0.659024427240841,渡辺 太,赤坂ドリブンズ
-2.2057077348843173,1.6650959279929392,二階堂 亜樹,EX風林火山
1.0222335774700049,-0.7140715035861932,勝又 健志,EX風林火山
-0.5189286323985782,0.6211802084629416,内川 幸太郎,EX風林火山
0.6647376242864917,1.4529286880258119,永井 孝典,EX風林火山
2.1691139120147374,0.10240662855123496,岡田 紗佳,KADOKAWAサクラナイツ
1.6524899269475486,0.1690273738380981,堀 慎吾,KADOKAWAサクラナイツ
-2.1345016818911855,0.38383463572112775,渋川 難波,KADOKAWAサクラナイツ
2.495270488774566,-1.4496799441827959,阿久津 翔太,KADOKAWAサクラナイツ
0.3022087908755566,1.4364268594043546,滝沢 和典,KONAMI 麻雀格闘倶楽部
-0.0493655606408324,-0.3997754512673456,佐々木 寿人,KONAMI 麻雀格闘倶楽部
-0.8565932757937935,0.3455245651691895,高宮 まり,KONAMI 麻雀格闘倶楽部
-0.9217119187685923,0.4141035156038156,伊達 朱里紗,KONAMI 麻雀格闘倶楽部
-2.2253638704565413,1.5332268998042164,多井 隆晴,渋谷ABEMAS
-1.3786955246745052,-0.3056631673512563,白鳥 翔,渋谷ABEMAS
1.3072859278485358,0.964951593444114,松本 吉弘,渋谷ABEMAS
1.020877609802031,0.6877844115857474,日向 藍子,渋谷ABEMAS
-0.20343262433135711,0.40863996432766414,茅森 早香,セガサミーフェニックス
-1.8304346335649562,0.9328054370465013,竹内 元太,セガサミーフェニックス
-1.6897327108251212,0.33444469112102704,醍醐 大,セガサミーフェニックス
-0.4614130133157951,0.8844429616688939,浅井 堂岐,セガサミーフェニックス
-1.2231658831102845,0.5655920079937259,萩原 聖人,TEAM RAIDEN / 雷電
2.900909861855433,1.0837269235022213,瀬戸熊 直樹,TEAM RAIDEN / 雷電
2.111718053675092,1.6690365653229111,黒沢 咲,TEAM RAIDEN / 雷電
-0.5186025274119556,-1.0809106933672832,本田 朋広,TEAM RAIDEN / 雷電
-0.8913400373291771,-1.2981165610492809,東城 りお,BEAST X
-0.27101148806122904,-1.2914330637634233,鈴木 大介,BEAST X
-0.033661490973045355,0.23470036471886635,中田 花奈,BEAST X
-1.4700876672885865,0.032596524300659874,下石 戟,BEAST X
-1.7198185561599109,-3.3107690119805384,小林 剛,U-NEXT Pirates
2.359968345612902,-0.10734675548061344,瑞原 明奈,U-NEXT Pirates
1.1430022173110472,-1.7471108745210135,鈴木 優,U-NEXT Pirates
0.5766604375301034,0.32374376180901515,仲林 圭,U-NEXT Pirates
