チーム名,PC1,PC2
BEAST X,-0.6665251709130098,-0.5805631839482938
EARTH JETS,0.6365303542982765,-0.48332490627896085
EX風林火山,-0.25941629138159983,0.7562833302238741
KADOKAWAサクラナイツ,1.045593161461417,-0.19860282651808325
KONAMI 麻雀格闘倶楽部,-0.38136549108191586,0.44906987222750333
TEAM RAIDEN / 雷電,0.8177148762520718,0.5593612008628932
U-NEXT Pirates,0.5899531110735359,-1.2103707200432867
セガサミーフェニックス,-1.046253245509308,0.6400832635410205
渋谷ABEMAS,-0.3189739643701203,0.7200749343707038
赤坂ドリブンズ,-0.4172573398293478,-0.6520109644373704
