チーム名,PC1,PC2
BEAST X,-0.5380300100001132,0.6758334608835059
EARTH JETS,0.43526275405385456,0.38311554833745926
EX風林火山,0.056322476629249496,-0.5941920891928266
KADOKAWAサクラナイツ,0.9620860609239852,0.2565114847141098
KONAMI 麻雀格闘倶楽部,-0.4340083419004579,-0.5658159796286211
TEAM RAIDEN / 雷電,0.8469235889872493,-0.5183020253206699
U-NEXT Pirates,0.11305708203074413,0.96017129080436
セガサミーフェニックス,-1.049222932828469,-0.7694039676469772
渋谷ABEMAS,-0.2369472334913371,-0.7068632583815135
赤坂ドリブンズ,-0.1554434444047057,0.8789455354311735
